Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
12/5/2008,17.5,32.3,1,W,41,ENE,NW,7,20,82,33,1010.8,1006,7,8,17.8,29.7,No,No
12/6/2008,14.6,29.7,0.2,WNW,56,W,W,19,24,55,23,1009.2,1005.4,NA,NA,20.6,28.9,No,No
12/16/2008,9.8,27.7,NA,WNW,50,NA,WNW,NA,22,50,28,1013.4,1010.3,0,NA,17.3,26.2,NA,No
12/17/2008,14.1,20.9,0,ENE,22,SSW,E,11,9,69,82,1012.2,1010.4,8,1,17.2,18.1,No,Yes
12/23/2008,20.5,31.8,0,WNW,41,W,W,19,20,54,24,1007.8,1005.7,NA,NA,23.8,30.8,No,No
12/28/2008,20.1,32.7,0,WNW,48,N,WNW,13,30,56,15,1005.2,1001.7,NA,NA,24.6,32.1,No,No
1/2/2009,9.6,23.9,0,W,41,WSW,SSW,19,11,44,22,1014.4,1013.1,NA,NA,14.9,22.1,No,No
1/8/2009,14,28.3,0,W,48,W,WSW,17,24,43,15,1011.9,1010.9,NA,NA,17.9,27.6,No,No
1/9/2009,12.5,28.4,0,NE,37,SSE,S,20,9,38,16,1017.8,1013.7,NA,NA,17.2,26.6,No,No
1/14/2009,17.4,43,0,NW,39,SSE,SSW,7,17,40,8,1011.6,1006.9,NA,NA,25.6,41.5,No,No
1/15/2009,19.8,32.7,0,WNW,44,W,W,20,28,34,28,1008.4,1009.2,NA,NA,27.6,27.1,No,No
1/18/2009,11.3,32.2,0,WNW,28,ENE,SSW,17,15,34,17,1019.7,1016.2,NA,NA,20.9,30.5,No,No
1/30/2009,22.3,42.9,0,NNE,28,ESE,SE,9,11,37,11,1014.6,1010.2,NA,NA,29.2,41.2,No,No
2/3/2009,21.5,37.7,0,NA,NA,N,NA,13,9,51,21,1009.2,1005.7,NA,NA,27.2,36.2,No,No
2/7/2009,22.3,44.8,0,NNW,59,SE,NW,9,33,36,11,1008.2,1003.8,NA,NA,29.6,43.4,No,No
2/14/2009,12.4,29.2,0,NE,39,S,NA,7,0,37,18,1022.5,1016.4,NA,NA,18.3,28.5,No,No
2/16/2009,17.2,31.1,0,E,35,SE,ESE,17,11,43,22,1017.7,1013.8,NA,NA,21.4,29.5,No,No
2/17/2009,12.5,28.8,0,N,31,SSE,ENE,7,11,46,17,1017.2,1013.5,NA,NA,18,27,No,No
2/27/2009,15.4,32.6,0,W,24,NA,S,0,6,53,25,1016.2,1012.6,NA,NA,20,30.8,No,No
3/2/2009,13.2,31.9,0,NNW,35,S,ENE,6,9,53,25,1014.1,1011.6,NA,NA,18,29.8,No,No
3/9/2009,13.8,31.8,0,NNE,24,SSE,NE,6,17,49,28,1019.7,1015.9,NA,NA,18.6,30.5,No,No
3/12/2009,20.9,25.7,0,W,37,ENE,S,11,9,52,90,1019.5,1018.9,NA,8,22.2,18.8,No,Yes
3/16/2009,8.8,21.9,0,W,39,S,WNW,2,20,78,34,1013.3,1011.6,NA,6,12.2,20.5,No,No
3/18/2009,9.3,28,0,NW,52,SSE,NW,6,11,76,19,1017.4,1013.9,NA,NA,14.7,27.2,No,No
3/23/2009,14.4,31.6,0,NW,37,NA,WNW,0,24,63,25,1013.7,1011.8,NA,NA,18.8,31.4,No,No
3/25/2009,15.4,22.3,0.4,ENE,30,SSE,SSE,11,9,69,78,1017.4,1019.2,8,8,18.3,19.6,No,Yes
3/26/2009,13.3,29.8,1.8,WSW,33,NA,WNW,0,20,87,26,1019.1,1017.2,NA,6,16.2,29.2,Yes,No
4/1/2009,12.2,30.6,0,SE,22,NA,ENE,0,6,59,22,1022.6,1019.4,NA,NA,16.6,29.5,No,No
4/12/2009,13.5,24.2,6.2,WSW,20,NA,SE,0,6,88,52,1024.1,1020.8,8,NA,15.4,23.1,Yes,No
4/17/2009,6.6,21.6,0,WNW,26,ENE,W,6,11,59,39,1018.5,1016.8,5,1,12.6,21.6,No,No
4/21/2009,5.7,21.4,0,ESE,17,ENE,SSE,6,7,68,39,1025.2,1020.9,NA,NA,12.2,20.9,No,No
4/23/2009,6,22.9,0,NE,33,NA,NE,0,20,68,34,1021.3,1015.7,NA,NA,12.9,22.6,No,No
4/30/2009,2.1,16.5,0,SW,19,NA,SW,0,7,70,38,1023.4,1021.5,NA,NA,7.9,16.1,No,No
5/2/2009,7.2,19.2,0,SW,22,ENE,W,7,6,81,49,1026.9,1024,8,4,10.1,19.1,No,No
5/3/2009,4.6,18.9,0,S,15,N,SSE,4,7,75,51,1028.7,1025.9,NA,NA,10.6,18.5,No,No
5/13/2009,3.6,15.1,0,WNW,28,SE,W,4,17,86,61,1018.4,1015.7,NA,8,7.5,14.6,No,No
5/24/2009,6.7,21.1,0,SE,20,NA,SE,0,11,69,43,1025,1022.1,NA,NA,12.5,20.8,No,No
5/25/2009,9.3,20.3,0,NE,31,SE,NE,9,22,77,50,1024.6,1019.7,2,8,11.6,19.5,No,Yes
5/27/2009,8,16.2,0.8,W,20,NA,WSW,0,11,99,58,1021.7,1019.3,8,NA,10.1,15.6,No,No
5/28/2009,2.6,15.7,0,SSE,13,NA,S,0,2,91,48,1023.4,1021.6,NA,NA,7.1,15.3,No,No
6/5/2009,2.8,16.1,0,W,20,NNE,W,4,11,86,57,1017.9,1015.1,NA,NA,7.6,15.6,No,No
6/17/2009,0.6,15.9,0,WSW,13,NA,W,0,2,94,52,1029.7,1027.7,NA,NA,5.6,14.9,No,No
