Q1 - age,Q2 - race/ethnicity,Q3 - freshman,Q4 - live on campas,Q5 - international student,Q6 - experienced nonconsensual sexual contact by another student,Q7 - How does the information about the Title IX Mandate make you feel?,"Q8 - After viewing the video about the Title IX Mandate, how do you think you would behave if you were to experience nonconsensual sexual contact by another student?",Q9 - Who would you tell if you were to experience nonconsensual sexual contact?,"Q10 - How do you believe the Title IX Mandate would affect your decision to ask for help from CARE (victim advocacy), Student Health, or Counseling Services if you were to experience nonconsensual sexual contact?","Q11 - How do you want Resident Assistants, professors, and student employees of the university to handle your private information if you tell them you experienced nonconsensual sexual contact?",Q12 - How might the Title IX Mandate to report nonconsensual sexual contact affect your relationship with your friends and other students?,Q13 - How does the Title IX Mandate affect your safety within the campus community?,Q14 - Which university employees are not required to report information about nonconsensual sexual contact to a Title IX Coordinator?,Q15 - Which university employees are required to report information about nonconsensual sexual contact to a Title IX Coordinator?,Q16 - What living and classroom arrangements do you believe the university should make for the student who experiences nonconsensual sexual contact by another student?,Q17 - What should the university do to or for the student who is suspected of causing nonconsensual sexual contact to another student?,"Q18 - If you were to experience nonconsensual sexual contact caused by another student, how would you feel about telling that student how his or her actions affected you if a professionally trained counselor were there to help you through it?",Q19 - What does an ideal campus community look like to you?,Q20 - What can you and other students do to create and maintain an ideal campus community?, ,,,,,,,,,,,,,
19 years old,Hispanic,Yes,Yes,No,it wasn't sexual but a guy has grabbed my hips and butt at a party and made a sexual remark that I was uncomfortable with,I feel like it deters college students from reaching out to others for help,I think I would first confide in my roommate and then ask for her social support to reach out to the counseling center,I would definitely tell my roommate and make another friend and then I would get checked by the health department so i would have to tell them also,I don't think it would affect it at all,I would rather it be kept confidential,I don't think it would affect my relationships at all,I believe it keeps the campus safer if it is reported,"Friends,Health Care Providers,Mental Health Counselors","Resident Assistants,Professors,Victim Advocates,Peer Educators,,",I don't think any should be made unless the victim wants it. If I experienced nonconsensual sexual contact I would just want things to stay the same.,I believe that the student should be monitored more closely,I would not like that because the person who did it probably doesn't care and I would just feel stupid,An even ratio between girls and boys and plenty of resources for everything and anything,"Always offer social support and keep an eye out at parties for weird activities, even if you don't know the individuals", ,,,,,,,,,,,,,
18 years old,White / Caucasian,Yes,Yes,No,Yes,disturbed,"I'm not for sure how I would respond, but hope to be able to scream, fight for myself, and come out unharmed.",My mother or sister,Respondent skipped this question,"If it happened to me and I told my RA, the last thing I want to happen is being bombarded by many questions by different people.",Respondent skipped this question,Respondent skipped this question,Respondent skipped this question,"Respondent skipped this question,,,,,",Respondent skipped this question,Respondent skipped this question,Respondent skipped this question,Respondent skipped this question,"I think something that can be done to improve safety on campus is having security guards roam the premises on foot in the early hours of the morning. While I feel safe on campus, I would feel much more safe if I saw an officer nearby.", ,,,,,,,,,,,,,
19 years old,White / Caucasian,Yes,Yes,No,No,I think it's important to report as long as the student is aware that the info will be reported before disclosing it.,I would probably be really hesitant to share with people. I would be very uncomfortable.,Probably someone at the counceling center or my mentor at church.,I would probably take it more seriously and really make sure that I was in danger or hurt physically/emotionally before reporting it.,"I would want them to report it and let me know my options for care, but not pressure me to seek help if I wasn't ready.",I don't think it would affect my relationship with my peers.,I think t would discourage nonconsensual contact because the reprecusssions are so severe and required.,"Friends,Health Care Providers,Victim Advocates,Mental Health Counselors","Resident Assistants,Professors,Peer Educators,,,",All girls dorm for female victims.,Bring them in to the counceling center or before the student conduct board,I would be comfortable with that after building up to it with the counselor,This one is fine :),Make sure to speak up and advocate to others, ,,,,,,,,,,,,,
19 years old,Hispanic,Yes,Yes,No,No,It makes me feel safer,I would try contact someone,Residence coordinator or a counselor,Somebody would do their best to help me,To keep it private,They would be more supportive,It makes us safer,"Professors,Friends,Victim Advocates,Peer Educators","Resident Assistants,Professors,Health Care Providers,Mental Health Counselors,,",Whatever time and space the student needs to recover,Report to the authorities,I wouldn't want contact with that person,A safe and friendly community,Take care and watch out for each other, ,,,,,,,,,,,,,
19 years old,White / Caucasian,Yes,Yes,No,No,Good that it's being talked about,Still scared and vulnerable-- but thankful they are talking about the reality of this issue.,"Parents, friends, soon the school",Would give me the idea to go there & talk,DO SOMETHING ABOUT IT-- All too often this issue is brushed over,Hmmm... Maybe to talk about it,To be aware of the issue,Friends,"Resident Assistants,Professors,Health Care Providers,Mental Health Counselors,,",Allow them to come when they feel comfortable a,Expel them,I would tell him and bring the police/student board into it,Safe & alert,Talk about this issue, ,,,,,,,,,,,,,
18 years old,White / Caucasian,Yes,Yes,No,No,"Title IX sounds helpful since it collects information about students who experience nonconsensual sexual contact, and uses it to help them and future students.",I would feel robbed of my spirit,A healthcare professional,I would feel comfortable with trying counseling services,Keep it confidential and only tell an official if they had to,"I only keep people in my life who support me and love me, so it would not affect the relationships too drastically",It makes me feel safe to know nonconsensual behavior is encouraged to be reported because it can only help others.,"Friends,Peer Educators,Mental Health Counselors","Resident Assistants,Professors,Health Care Providers,Victim Advocates,,",Separate the two parties if they are in the same class; maybe allow them to transfer into another class.,"Speak to them, hear his/her side of the story, and act accordingly to the victim's wishes as far as pressing charges goes.","Terrified, but hypothetically it sounds helpful emotionally","peaceful, learning-oriented, fun",Respect one another's rights as human beings, ,,,,,,,,,,,,,
19 years old,White / Caucasian,Yes,Yes,No,No,"I think it is a good thing that there are mandatory reporters. It does not mean that the victim has to press charges or reveal their identity. If these assaults aren't reported, then it will be more difficult to address this issue.","It depends on the severity of the act. If it was a misunderstanding and I changed my mind within the act, I wouldn't feel too bad. If I was blatantly raped because I made it perfectly clear that I did not want it, then I would be horrified.",My closest friends first. Then a health care professional or counselor if I felt like I needed their help.,"It would not affect my decision. If I felt strongly about it, I would report it.","I would expect them to keep this information completely confidential, besides the mandatory reporting. If they told anyone else, I would be very upset.",I do not think it would affect my relationship with my friends or other students.,"I do not think it affects my short-term safety because when someone is sexually assaulting another person, they aren't thinking about title 9. But, it might help this long-term issue by revealing how many people are sexually assaulted.","Friends,Health Care Providers,Victim Advocates,Peer Educators,Mental Health Counselors","Resident Assistants,Professors,,,,",It depends on the individual needs of the person. I am not sure what arrangements should be made because I have not been in this situation.,Nothing because it is a violation of their rights to punish someone who they only suspect.They are innocent until proven guilty.,I am not sure. The option to have the counselor should definitely be there but I might have to tell the person on my own.,Very similar to UNCW.,It's simple. Be a good person and do not violate the rights of other people. Be inclusive and have good character and aspirations., ,,,,,,,,,,,,,
19 years old,White / Caucasian,Yes,Yes,No,No,I think it's reasonable,I would go tell someone with authority as soon as possible,Counselor,In a positive way,Keep information disclosed from anyone other than workers trying to help at the university,It should be kept private,Betters my safety,"Friends,Victim Advocates,,,","Resident Assistants,Professors,Health Care Providers,Peer Educators,Mental Health Counselors,",Nothing,Counseling,It would be hard but I would tell,Safe,Drink less and don't be afraid to talk to someone, ,,,,,,,,,,,,,
19 years old,White / Caucasian,Yes,Yes,No,No,It makes me feel like I have options if I were top be assaulted or unsure about a situation like this.,I would definitely go to CARE or one of the institutions on campus to make sure I am safe and the situation is resolved correctly.,"a friend first most likely, then Care, Title IX Counselor, and health center",It would affect it greatly since it would be fully disclosed and not promoting my experience.,I would want them to handle it with care and without any judgment.,I don't believe it would affect much unless that friend was the one who assaulted me.,It greatly affects my safety and provides resources to help me in this kind of unfortunate situation.,"Friends,Health Care Providers,Victim Advocates,,","Resident Assistants,Professors,Peer Educators,Mental Health Counselors,,",They should be allowed in any housing or classes they so choose in order to provide them with their own sense of safety,They should investigate the matter efficiently and punish them as needed,I would not want to do that.,There is no ideal campus for me except safety and fun.,Don't assault others and make sure everyone feels safe and secure at all times., ,,,,,,,,,,,,,
19 years old,White / Caucasian,Yes,Yes,No,No,I like the fact that there is someone/something there to protect me and others who may have experienced nonconsensual sex,I would definitely tell a health care provider first so I could talk it over with them since they are not required to say something and then decide if I wanted to tell anyone else and have them tell Title IX Mandate,A healthcare provider,I would definitely ask,I want them to tell only those they are required to tell and nobody else,I think some people might blame the victim and that by telling them they might not understand where you're coming from,It makes me feel safe,"Friends,Health Care Providers,Mental Health Counselors,,","Resident Assistants,Professors,,,,",Whatever makes the victim feel safe and comfortable,I think there should be a thorough investigation and that they should receive a very harsh punishment,"I would be scared, but I would definitely say something to make myself feel more safe and to make sure that other girls would remain safe",A campus that rallies together and helps their peers and one where everyone gets along and nobody feels unprotected,"Buddy system, don't blame the victim, help someone who looks too intoxicated to provide consent", ,,,,,,,,,,,,,
