,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,RT @GGENYC: Title IX Coordinators are valuable not only to students but help to train teachers on how to keep students safe. We're asking f…,FALSE,0,NA,4/29/2019 0:42,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",urbintelligence,2,TRUE,FALSE,NA,NA
2,"RT @Baylor: Tonight, campus came together for a Night of Reflection for Sexual Assault Awareness Month. #SAAM

Take a moment yourself to re…",FALSE,0,NA,4/29/2019 0:32,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",thabreannashow,12,TRUE,FALSE,NA,NA
3,RT @WMurphyLaw: @AOC @RethinkingEve @RepJoshHarder . @AOC please show this same outrage for the weakening of civil rights for women &amp; girls…,FALSE,0,NA,4/28/2019 23:32,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",yepes12572294,3,TRUE,FALSE,NA,NA
4,How many times are they going to throw the fact that they don’t care in our face?  @mcricker @iChampionWomen… https://t.co/XTVRdAIxlz,FALSE,1,NA,4/28/2019 23:20,TRUE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SafeSportDad,0,FALSE,FALSE,NA,NA
5,"RT @philpotconsult: Many thanks to Olympic Gold Medalist and Longhorn Legend, Jill Sterkel, for sharing her experiences as an athlete and c…",FALSE,0,NA,4/28/2019 22:43,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TashaPhilpot,1,TRUE,FALSE,NA,NA
6,"Many thanks to Olympic Gold Medalist and Longhorn Legend, Jill Sterkel, for sharing her experiences as an athlete a… https://t.co/vGY5lfC4wX",FALSE,0,NA,4/28/2019 22:43,TRUE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",philpotconsult,1,FALSE,FALSE,NA,NA
7,"Way to go #UTK! In the 2017 Campus Climate survey, 93% of survey participants knew the definition of Affirmative Co… https://t.co/j55abycTku",FALSE,0,NA,4/28/2019 21:38,TRUE,NA,1.12E+18,NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",volshelpvols,0,FALSE,FALSE,NA,NA
8,UT is committed to creating and maintaining an environment free from sexual misconduct. Learn more at https://t.co/uzpQllNN68. #SAAMUTK,FALSE,2,NA,4/28/2019 21:38,FALSE,NA,1.12E+18,NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",volshelpvols,0,FALSE,FALSE,NA,NA
9,RT @cookie8010: Federal judge has ruled in favor Curators of the University of Missouri in #TitleIX discrimination case involving student f…,FALSE,0,NA,4/28/2019 19:56,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",PhyllisMarion7,5,TRUE,FALSE,NA,NA
10,"Thread.

#TitleIX #TIX #falseallegations #falseaccusation https://t.co/ozhVXuLSKr",FALSE,0,NA,4/28/2019 18:33,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",melliflora,1,FALSE,FALSE,NA,NA
11,"RT @danibostick: Parents are informed of lice outbreaks, why aren't they notified about sexual violence on campus? 

K12 schools are not re…",FALSE,0,NA,4/28/2019 17:50,FALSE,NA,1.12E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",ubatuber,29,TRUE,FALSE,NA,NA
12,"RT @JackieWernz: My partner @AmyKDickerson and I are excited to talk #TitleIX at the @EdRedNews May Member Meeting Friday, May 3. I have ma…",FALSE,0,NA,4/28/2019 16:34,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AmyKDickerson,1,TRUE,FALSE,NA,NA
